Tên công việc,Công ty,Bằng cấp,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Số lượng,Yêu cầu,Link
Nhân Viên Marketing (Ai Prompt),Công Ty TNHH Ccle Media Solutions,Đại học,7 - 10 triệu,Hà Nội,29/11/2023,Chuyên viên- nhân viên,Marketing,Dưới 1 năm,Toàn thời gian cố định,1,"Độ tuổi: sinh năm 1997 - 2001Sử dụng thành thạo các phần mềm thiết kế: Photoshop, …Sáng tạo, có tư duy thẩm mỹ tốt về hình ảnh, đồ họaCó tinh thần trách nhiệm cao, nhiệt tình trong công việcKỹ năng mềm mạnh mẽ: Tự phân tích và học hỏi, khả năng làm việc cả nhóm và độc lập, quản lý thời gian hiệu quả, sự kỷ luật và sự chăm chỉ trong công việcKhả năng chịu áp lực công việc tốtTiếng Anh tốt",https://vieclam24h.vn/marketing/nhan-vien-marketing-ai-prompt-c12p73id200287407.
Nhân Viên Kinh Doanh,Công Ty Tnhh Qworld Trading,Đại học,7 - 10 triệu,TP.HCM,29/11/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Marketing,1 năm,Toàn thời gian cố định,1,"- Có kinh nghiệm làm Nhân viên kinh doanh hoặc các vị trí liên quan- Thành thạo các công cụ Microsoft Office- Có kinh nghiệm về phân phối sản phẩm là một lợi thế- Có khả năng tự thúc đẩy, tự vạch định mục tiêu cụ thể và tập trung thực hiện mục tiêu- Thành thạo các kỹ năng bán hàng, giao tiếp và đàm phán tới nhiều loại đối tượng- Thành thạo các kỹ năng tổ chức công việc, quản lý thời gian- Thành thạo kỹ năng quản trị mối quan hệ- Cởi mở tiếp thu các góp ý phản hồi",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-c13p122id200287565.
Nhân Viên Thư Ký Kinh Doanh,Công Ty Cổ Phần Cơ Điện APS,Cao đẳng,10 - 15 triệu,TP.HCM,29/11/2023,Chuyên viên- nhân viên,Hành chính - Thư ký/Bán hàng - Kinh doanh/Marketing,1 năm,Toàn thời gian cố định,1,"- Tốt nghiệp CĐ/ ĐH, chuyên ngành Quản trị kinh doanh, marketing, nghành liên quan …- Thành thạo vi tính văn phòng- Cẩn thận, tỉ mỉ.- Nhạy bén trong công việc, nhạy bén xử lý tình huống.- Kỹ năng làm việc nhóm tốt.",https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-thu-ky-kinh-doanh-c1p122id200287530.
Thực Tập Sinh Marketing Online,Công Ty Tnhh Thương Mại Dịch Vụ Onset,Cao đẳng,1.5 - 3.5 triệu,TP.HCM,28/11/2023,Cộng tác viên,Marketing/Truyền hình - Báo chí - Biên tập/Thực tập sinh,Chưa có kinh nghiệm,Thực tập,2,"- Sinh viên hoặc các bạn mới ra trường.Ưu tiên các bạn đã có kinh ngiệm viết bài, seo, marekting thực tập tại các công ty khác,- Có laptop cá nhân.- Thời gian làm việc linh động, tối thiểu 3 ngày/ tuần hoặc làm 5 buổi (mỗi buổi 4 tiếng/tuần) thời gian làm việc full time 8g30-17g30 T2-T6- Sáng tạo, nhanh nhẹn",https://vieclam24h.vn/marketing/thuc-tap-sinh-marketing-online-c12p122id200287434.
Nhân Viên Bán Hàng Online,Công Ty TNHH Thương Mại Vhc - Siêu Thị Điện Máy Hc,Trung cấp,6 - 10 triệu,Hà Nội,28/11/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Lao động phổ thông,Chưa có kinh nghiệm,Toàn thời gian cố định,2,"- Tốt nghiệp trung cấp trở lên- Sử dụng thành thạo word, excel.- Kỹ năng làm việc độc lập và làm việc theo nhóm.- Giao tiếp tốt, giọng nói dễ nghe, không nói ngọng, nói lắp.- Nhanh nhẹn, tự tin, năng động.- Ưu tiên ứng viên có kinh nghiệm bán hàng điện máy.",https://vieclam24h.vn/marketing/nhan-vien-ban-hang-online-c12p73id200287480.
Chuyên Viên Phát Triển Kinh Doanh Dự Án CNTT,Công Ty Dịch Vụ Mobifone Khu Vực 6 - Chi Nhánh Tổng Công Ty Viễn Thông Mobifone,Đại học,10 - 25 triệu,Nghệ An,28/11/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Marketing,Dưới 1 năm,Toàn thời gian cố định,3,"ü Kỹ sư CNTT/Toán-Tin, Hệ chính quy.ü Nam, dưới 35 tuổiü Ưu tiên các ứng viên có kinh nghiệm kinh doanh các dịch vụ CNTT hoặc viễn thông và am hiểu thị trường trong lĩnh vực Công nghệ;ü Nhanh nhẹn, hoạt bát, có tố chất kinh doanh.ü Có chứng chỉ tiếng anh B/Toeic 450/bậc 3/6 KNN 6 bậc trở lên hoặc tương đương.",https://vieclam24h.vn/ban-hang-kinh-doanh/chuyen-vien-phat-trien-kinh-doanh-du-an-cntt-c13p99id200287394.
Video Editor,Công Ty Tnhh Tzu Yuan,Cao đẳng,8 - 10 triệu,TP.HCM,28/11/2023,Chuyên viên- nhân viên,Thiết kế - Sáng tạo nghệ thuật/Marketing,Chưa có kinh nghiệm,Toàn thời gian cố định,1,"Biết sử dụng các thiết bị quay phim, chụp ảnh chuyên nghiệp;Sử dụng tốt các phần mềm dựng phim như: Premiere, CapcutGraphic Design: Cơ bản về Adobe Illustrator, Adobe PhotoshopCó kinh nghiệm trong lĩnh vực làm video marketing...Tốt nghiệp cao đẳng, đại học, chuyên ngành liên quan, hoặc ứng viên đã học qua các khóa đào tạo dựng phim, thiết kế đồ họa, Multimedia,....Có tư duy sáng tạo và đổi mới, nắm bắt nhanh các xu hướngQuản lý thời gian tốt và đảm bảo deadlinePhải có Portfolio các sản phẩm đã làm",https://vieclam24h.vn/thiet-ke-sang-tao-nghe-thuat/video-editor-c3p122id200287442.
Nhân Viên Quay Dựng Video (Video Editor),Công Ty TNHH Scarab VN,Đại học,8 - 12 triệu,TP.HCM,28/11/2023,Chuyên viên- nhân viên,Marketing/Thiết kế - Sáng tạo nghệ thuật,1 năm,Toàn thời gian cố định,1,"-  Ưu tiên ứng viên có kinh nghiệm ở vị trí tương đương, chưa có nhiều kinh nghiệm sẽ được đào tạo, hướng dẫn thêm.- Sử dụng thành thạo các phần mềm thiết kế chỉnh sửa: Photoshop, Premiere, After Effects.- Sáng tạo, Có khả năng tư duy logic về bố cục, hình ảnh, màu sắc, xu hướng thiết kế.- Luôn cập nhật xu hướng, sáng tạo, có tư duy thẩm mỹ tốt về hình ảnh, đồ họa, chuyển động, cắt cảnh, bố cục.- Chăm chỉ, chịu khó, có trách nhiệm với công việc.Hồ sơ ứng tuyển bao gồm: CV có kèm ảnh, có sản phẩm dự án từng thực hiện.",https://vieclam24h.vn/marketing/nhan-vien-quay-dung-video-video-editor-c12p122id200287381.
Nhân Viên Chăm Sóc Khách Hàng Nhận Việc Ngay,Công Ty Cổ Phần Tự Thành,Trung cấp,8 - 12 triệu,Hà Nội,28/11/2023,Chuyên viên- nhân viên,Chăm sóc khách hàng/Marketing,1 năm,Toàn thời gian cố định,2,"Yên công việcChăm chỉ, nhiệt tìnhCó trách nhiệm, thật thà, chịu được áp lực công việcSử dụng thành thạo máy vi tính",https://vieclam24h.vn/cham-soc-khach-hang/nhan-vien-cham-soc-khach-hang-nhan-viec-ngay-c30p73id200287355.
Nhân Viên Bán Vé Máy Bay - Ticketing,Công Ty TNHH DV Dl Ngôi Nhà Phương Nam,Trung học,7 - 20 triệu,TP.HCM,28/11/2023,Chuyên viên- nhân viên,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Marketing,1 năm,Toàn thời gian cố định,5,"- Giới tính: Nam/nữ.- Độ tuổi: 20->40.- Giao tiếp tốt.- Kinh nghiệm: ưu tiên kinh nghiệm ngành vé máy bay, khách sạn- Sử dụng thành thạo phần mềm 1S và 1 trong các phần mềm 1A, 1B, 1G- Biết sử dụng thành thạo các Website bán vé nội địa hoặc hàng không giá rẻ quốc tế như: Vietjet, Vietravel, TigerAir, Air Asia...",https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ban-ve-may-bay-ticketing-c6p122id200287286.
Chuyên Viên Digital Marketing,Công Ty Cổ Phần Đầu Tư Và Phát Triển Hạ Tầng Hoàng Thành,Đại học,12 - 15 triệu,Hà Nội,28/11/2023,Chuyên viên- nhân viên,Marketing/Bất động sản/Thông tin - Truyền thông - Quảng cáo,2 năm,Toàn thời gian cố định,1,"Trình độ: Tốt nghiệp Đại học, ưu tiên chuyên ngành Marketing hoặc các ngành liên quan như: đồ họa, công nghệ thông tin,...Có kinh nghiệm tối thiểu 2 năm về SEO, content, Google AdWords, InDesign, project marketing nói chung.Thành thạo tiếng Anh (viết + đọc)Biết sử dụng Microsoft 365, G-suites (chrome, Gdrive, Gdoc/spreadsheet), hệ thống Email marketingCó kinh nghiệm sử dụng Adobe Illustration, Adobe Photoshop, Capcut+, và biết chụp ảnh là một điểm cộngƯu tiên ứng viên đã làm trong ngành bất động sản (2 năm++)",https://vieclam24h.vn/marketing/chuyen-vien-digital-marketing-c12p73id200287274.
[Gò Vấp] Nhân Viên Kinh Doanh - Tư Vấn Mảng Digital Marketing,Công Ty TM DV I Web,Cao đẳng,9 - 15 triệu,TP.HCM,28/11/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Thông tin - Truyền thông - Quảng cáo,Chưa có kinh nghiệm,Toàn thời gian cố định,2,"YÊU CẦU:●     KHÔNG YÊU CẦU KINH NGHIỆM●     Chào đón các bạn sinh viên mới ra trường.●     Tuổi từ 18 - 30●     Yêu thích công việc kinh doanh, sales digital marketing●     Tốt nghiệp trình độ Cao đẳng trở lên đối với tất cả các ngành nghề. (Hoặc có hiểu biết về sales, tư vấn)●     Có khả năng giao tiếp, không nói ngọng, nói lắp;●     Chăm chỉ, có tinh thần cầu tiến, ham học hỏi;●     Có kỹ năng làm việc theo nhóm;●     Có laptop cá nhân",https://vieclam24h.vn/marketing/go-vap-nhan-vien-kinh-doanh-tu-van-mang-digital-marketing-c12p122id200287263.
Nhân Viên Bán Hàng Decor,Công Ty TNHH Thương Mại Dịch Vụ Luxedecor,Trung cấp,8 - 15 triệu,TP.HCM,28/11/2023,Chuyên viên- nhân viên,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Marketing,1 năm,Toàn thời gian cố định,2,Yêu cầuĐộ tuổi: 22-35Trình độ: Tốt nghiệp Trung cấp trở lên.Có khả năng giao tiếp tốt.Có kinh nghiệm về trang trí/thiết kế/ nội thất/cắm hoa là một lợi thế.Có khả năng giao tiếp tiếng anh là một lợi thế.,https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ban-hang-decor-c6p122id200286987.
Nhân Viên Kinh Doanh Ngành Bao Bì Làm Việc Hà Nội (Đi Làm Ngay),Công Ty TNHH TM Xnk Phú Lộc Trường,Cao đẳng,11 - 15 triệu,Hà Nội,28/11/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Marketing,1 năm,Toàn thời gian cố định,5,"- Nhanh nhẹn, trung thực và có trách nhiệm, nhiệt tình với công việc.- Độ tuổi: 25-35 tuổi- Kinh nghiệm từ 1 năm trở lên.- Tốt nghiệp Cao Đẳng trở lên.- Yêu cầu: Nữ.Nộp hồ sơ, phỏng vấn nhận việc ngay.",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-nganh-bao-bi-lam-viec-ha-noi-di-lam-ngay-c13p73id200287212.
Chuyên Viên Quay Dựng Ngành Ô Tô,Công Ty TNHH Xuất Nhập Khẩu Mt Group - Chi Nhánh Miền Bắc,Cao đẳng,9 - 14 triệu,TP.HCM,28/11/2023,Chuyên viên- nhân viên,Marketing/Truyền hình - Báo chí - Biên tập/Cơ khí - Ô tô - Tự động hóa,1 năm,Toàn thời gian cố định,2,"Trình độ, kinh nghiệm:- Cao đẳng/Đại học các chuyên ngành vềTruyền thông, Đạo diễn, Marketing,... hoặc các chuyên ngành khác liên quan.- Kinh nghiệm: Từ 1 năm trở lên tại các vị trí tương đương, ưu tiên từng làm về ngành ô tô.Kiến thức, kỹ năng chuyên môn:- Nắm vững các kiến thức nền tẳng về marketing, quay dựng phim.- Thành thạo các thao tác, kỹ thuật quay chụp, dựng clip- Lập kế hoach, báo cáo theo giai đoạn.- Thành thạo tin học văn phòngKiến thức, kỹ năng mềm:- Giao tiếp tốt, có khả năng truyền đạt - thảo thuận ý tưởng trong công việc- Có khả năng tự học, tự tìm hiểu thông tin chuyên môn- Có khả năng làm việc đội nhóm và độc lập.- Năng động, không ngại khó khănThái độ, tư duy:- Tinh thần tiên phong, đóng góp xây dựng cải tiến công việc, hướng đến mục tiêu chung, cầu tiến, luôn hướng đến giải pháp. - Thẳng thắn, trung thực. - Có tinh thần chịu trách nhiệm cao, không đổ lỗi.- Chủ động, nhiệt tình, linh hoạt, có khả năng ứng biến nhanh nhạy khi có vấn đề phát sinh.Ngôn ngữ:- Tiếng Anh khá trở lên, có khả năng hiểu được các tài liệu và kiến thức chuyên ngành- Biết các ngôn ngữ khác là một lợi thế (tiếng Trung, tiếng Thái,...)Yêu cầu khác:- Có thể linh động di chuyển địa điểm làm việc và đi quay phim ở nhiều nơi.- Thời gian làm việc: Sáng thứ 2 đến trưa thứ 7 (8:30 - 12:00; 13:30 - 17:30)",https://vieclam24h.vn/marketing/chuyen-vien-quay-dung-nganh-o-to-c12p122id200287216.
Nhân Viên Telesale Hỗ Trợ Kinh Doanh,Công Ty TNHH Công Nghệ Nhonho,Cao đẳng,7 - 10 triệu,"Cần Thơ,TP.HCM",28/11/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Marketing/Chăm sóc khách hàng,1 năm,Toàn thời gian cố định,2,"- Nữ từ 22 tuổi trở lên, cần cù, chịu khó, trung thực, không ngại người lạ, giao tiếp ổn.- Tốt Nghiệp từ cao đẳng trở lên: Dược, công nghệ thực phẩm, công nghệ sinh học, nông nghiệp, quản trị kinh doanh, khối kinh tế hoặc tương đương các ngành.- Ưu tiên có kinh nghiệm về dịch vụ kiểm nghiệm chất lượng các ngành dược phẩm, y tế, công nghệ thực phẩm, công nghệ sinh học, nông nghiệp.v.v.- Ưu tiên có kinh nghiệm",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-telesale-ho-tro-kinh-doanh-c13p131id200286254.
Nhân Viên Thiết Kế - Làm Việc Tại Bình Dương,Hộ Kinh Doanh Bé Yêu Shop,Cao đẳng,10 - 13 triệu,Bình Dương,28/11/2023,Chuyên viên- nhân viên,Marketing/Hành chính - Thư ký/Thiết kế - Sáng tạo nghệ thuật,2 năm,Toàn thời gian cố định,1,"Có ít nhất 2 năm kinh nghiệm thiết kế Digital và in ấn.Sử dụng thành thạo các phần mềm design như AI, photoshop, indesignKỹ năng thiết kế hình ảnh xuất sắc với sự nhạy cảm với tương tác giữa người dùng và hệ thốngHiểu biết về tiếp thị, sản xuất, thiết kế trang web, sản phẩm, truyền thông xã hội, quảng cáo, v.v.Chủ động cập nhật xu hướng thiết kế, công nghệ mới để áp dụng vào công việc.Có thái độ tích cực, học hỏi nhanh, không ngại khó, không ngại thay đổi.Có khả năng sắp xếp công việc, đảm bảo deadline, có tính tổ chức.",https://vieclam24h.vn/marketing/nhan-vien-thiet-ke-lam-viec-tai-binh-duong-c12p119id200287162.
Nhân Viên Thiết Kế Đồ Họa Và Xây Dựng Nội Dung - Quận 7,Công Ty TNHH Googene International Việt Nam,Cao đẳng,8 - 14 triệu,TP.HCM,28/11/2023,Chuyên viên- nhân viên,Thiết kế - Sáng tạo nghệ thuật/Thông tin - Truyền thông - Quảng cáo/Marketing,1 năm,Toàn thời gian cố định,1,"– Có ít nhất 1 năm kinh nghiệm thiết kế đồ họa (gửi kèm portfolio nếu có).– Sử dụng thành thạo các phần mềm thiết kế đồ họa (Photoshop, AI,…).– Có hiểu biết và sử dụng các phần mềm biên tập Video.– Có kinh nghiệm quay phim chụp ảnh là một lợi thế.– Kỹ năng cập nhật trend, các xu thế mang tính viral trên mạng xã hội.– Kỹ năng phân tích Insight khách hàng.–Có tư duy sáng tạo vả khả năng xây dựng content thu hút.–Kỹ năng làm việc nhóm.–Kỹ năng tổ chức và quản lý thời gian.",https://vieclam24h.vn/thiet-ke-sang-tao-nghe-thuat/nhan-vien-thiet-ke-do-hoa-va-xay-dung-noi-dung-quan-7-c3p122id200260093.
Nhân Viên Kinh Doanh,Công Ty TNHH Tư Vấn Thiết Kế Quốc Tế Idc,Đại học,20 - 40 triệu,TP.HCM,27/11/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Marketing,2 năm,Toàn thời gian cố định,2,"- Tốt nghiệp Đại Học chuyên ngành Marketing- Có 2 - 3 năm kinh nghiệm về bán hàng, tư vấn, kinh doanh- Kĩ năng giao tiếp tốt, khả năng đàm phán công việc tốt.- Kĩ năng tổ chức và sắp xếp công việc cao.- Thành thạo tin học văn phòng: Word, Excel",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-c13p122id200287128.
Marketing Executive (Erp Software),Công Ty Cổ Phần Công Nghệ Mobiwork Việt Nam,Đại học,11 - 14 triệu,Hà Nội,27/11/2023,Chuyên viên- nhân viên,IT Phần mềm/Marketing/Bán hàng - Kinh doanh,1 năm,Toàn thời gian cố định,1,"2.1.Cần phải cóCó kinh nghiệm từ 01 năm tại vị trí tương đương hoặc Content ExecutiveCó kinh nghiệm content trên đa nền tảng (social media, website, email…)Có tư duy phân tích và đọc hiểu dữ liệu tốtAm hiểu về các công cụ Marketing 2.2.Có thì tốtCó kinh nghiệm trong lĩnh vực công nghệ (Đặc biệt là công ty Product)Có kỹ năng tiếng Anh tốt ( đặc biệt là đọc - hiểu)Khả năng sử dụng các công cụ thiết kếTốt nghiệp đại học trở lên các chuyên ngành như: Marketing, Quản trị Kinh doanh, Truyền thông, Báo chí",https://vieclam24h.vn/it-phan-mem/marketing-executive-erp-software-c8p73id200287124.
Thực Tập Sinh Marketing (Video Editors),Công Ty Cổ Phần Dh Foods,Đại học,2 - 3 triệu,TP.HCM,27/11/2023,Cộng tác viên,Thực tập sinh/Marketing,Chưa có kinh nghiệm,Thực tập,1,"- Sinh viên năm cuối các trường Đại học chuyên ngành Ngoại thương, Kinh tế, Marketing, Kinh doanh Quốc tế, …- Có khả năng lên kế hoạch, viết kịch bản- Thành thạo sử dụng các phần mềm edit như Canva và Capcut, thành thạo các phần mềm chỉnh sửa Adobe Photoshop, Illustrator, Premier là một điểm cộng.- Có khả năng giao tiếp tốt, không ngại ống kính là một điểm cộng.- Nhiệt tình, cẩn thận, chịu khó, có trách nhiệm là đức tính cần thiết cho công việc.- Thực tập full-time.- Có laptop cá nhân.- Nếu chưa có kinh nghiệm trong lĩnh vực này, sẽ được đào tạo thêm trong quá trình thực tập.",https://vieclam24h.vn/thuc-tap-sinh/thuc-tap-sinh-marketing-video-editors-c53p122id200287073.
Trưởng Phòng Marketing,Công Ty Cổ Phần Khóa DGP,Cao đẳng,20 - 35 triệu,Hà Nội,27/11/2023,Quản lý cấp trung,Marketing/Thông tin - Truyền thông - Quảng cáo/Truyền hình - Báo chí - Biên tập,2 năm,Toàn thời gian cố định,1,"-        Có kinh nghiệm về marketing và marketing online, chọn lựa loại hình phù hợp để tiếp cận với từng đối tượng khách hàng. Cập nhật xu hướng marketing trên thị trường.-        Tốt nghiệp chuyên ngành marketing hoặc tương đương.-        Kinh nghiệm tối thiểu 3 năm trở lên trong mảng truyền thông Marketing, đặc biệt là trên các nền tảng online, mạng xã hội hiện đại (Google, Facebook, Tiktok, Youtube, Zalo,...)-        Có kinh nghiệm 2 năm trở lên trong vai trò quản lý mảng truyền thông Marketing tại các doanh nghiệp.-        Kỹ năng tổ chức và giám sát công việc.",https://vieclam24h.vn/marketing/truong-phong-marketing-c12p73id200287075.
Thực Tập Sinh Kinh Doanh,Công Ty Cổ Phần Elite Global Link,Đại học,2 - 3 triệu,Hà Nội,27/11/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Giáo dục - Đào tạo,Chưa có kinh nghiệm,Thực tập,3,"- Số lượng: 03- Ưu tiên sinh viên năm 4, mới ra trường có thể làm Fulltime - Part-time- Không yêu cầu kinh nghiệm/có kinh nghiệm trong lĩnh vực Sales Telesales, Chăm sóc Khách Hàng… là một lợi thế- Có laptop cá nhân.- Khả năng giao tiếp tốt, nhiệt huyết, không ngại hy sinh, cống hiến.- Chăm chỉ, trách nhiệm với công việc, có khả năng tự học tốt.",https://vieclam24h.vn/marketing/thuc-tap-sinh-kinh-doanh-c12p73id200287047.
Thực Tập Sinh Chăm Sóc Khách Hàng,Công Ty Cổ Phần Elite Global Link,Không yêu cầu bằng cấp,2 - 3 triệu,Hà Nội,27/11/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Giáo dục - Đào tạo/Marketing,Chưa có kinh nghiệm,Thực tập,4,"- Số lượng: 03- Ưu tiên sinh viên năm 4, mới ra trường- Không yêu cầu kinh nghiệm/có kinh nghiệm trong lĩnh vực Sales, Telesales, Chăm sóc Khách Hàng… là một lợi thế-   Có laptop cá nhân.- Khả năng giao tiếp tốt, nhiệt huyết, không ngại hy sinh, cống hiến.- Chăm chỉ, trách nhiệm với công việc, có khả năng tự học tốt.",https://vieclam24h.vn/ban-hang-kinh-doanh/thuc-tap-sinh-cham-soc-khach-hang-c13p73id200287044.
Phó Phòng Marketing,Công Ty TNHH Chăn Nuôi Tafa Việt,Cao đẳng,20 - 30 triệu,TP.HCM,27/11/2023,Quản lý cấp trung,Marketing,5 năm,Toàn thời gian cố định,1,"- Yêu cầu giới tính: Nữ- Tuổi từ 28-35;- Kinh nghiệm / Kỹ năng chi tiết- Tốt nghiệp Đại học hoặc Cao đẳng các ngành Quản trị kinh doanh, Marketing hoặc chuyên ngành có liên quan.- Trình độ chuyên môn: Tốt nghiệp Đại học trở lên các chuyên ngành Marketing, Truyền thông, hoặc các chuyên ngành liên quan.- Kinh nghiệm: tối thiểu 5 năm kinh nghiệm trong lĩnh vực Marketing,+ Ưu tiên ứng viên có kinh nghiệm trong ngành thực phẩm, hoặc làm tại các agency truyền thông, quảng cáo.+ Kỹ năng quản lý, kinh nghiệm hoạch định chiến lược, lập kế hoạch, giám sát.+ Có tinh thần trách nhiệm, chịu áp lực, làm việc độc lập và làm việc nhóm tốt.+ Tinh thần học tập, đổi mới.",https://vieclam24h.vn/marketing/pho-phong-marketing-c12p122id200287057.
Nhân Viên SEO Marketing Thu Nhập Trên 10 Triệu,Công Ty Cổ Phần Xuất Nhập Khẩu Bảo Minh,Đại học,8 - 20 triệu,Hà Nội,27/11/2023,Chuyên viên- nhân viên,Marketing/Thông tin - Truyền thông - Quảng cáo/Hành chính - Thư ký,2 năm,Toàn thời gian cố định,3,"Ứng viên tốt nghiệp các chuyên ngành Marketing và các chuyên ngành liên quanƯu tiên ứng viên có kinh nghiệmNộp hồ sơ sớm, phỏng vấn đi làm luôn",https://vieclam24h.vn/marketing/nhan-vien-seo-marketing-thu-nhap-tren-10-trieu-c12p73id200287020.
Nhân Viên Kỹ Thuật Báo Giá,Công Ty Cổ Phần Technokom,Đại học,10 - 13 triệu,Hưng Yên,27/11/2023,Chuyên viên- nhân viên,Cơ khí - Ô tô - Tự động hóa/Marketing,1 năm,Toàn thời gian cố định,1,"- Độ tuổi: Từ 22 đến 28 tuổi- Kinh nghiệm: Ưu tiên: Kinh nghiệm ≥ 02 năm làm kỹ sư sản xuất tại các công ty sản xuất cơ khí của Nhật bản hoặc khối doanh nghiệp FDI- Trình độ chuyên môn, năng lực:- Kiến thức: Tốt nghiệp Đại học chuyên ngành cơ khí, cơ điện tử, tự động hóa, công nghệ ô tô- Ưu tiên: Hiểu biết về ngành công nghiệp hỗ trợ : sản xuất dập và hàn.- Ngoại ngữ: Ưu tiên giao tiếp, đọc tài liệu bằng tiếng Anh- Tin học, phần mềm:- Đọc bản vẽ tốt, sử dụng thành thạo phần mềm vẽ 2D - 3D- Sử dụng khá: Powerpoint, Word, Excel* Yêu cầu khác:- Tính cách: Nhanh nhẹn, chăm chỉ, chịu được áp lực công việc cao; trách nhiệm, làm việc nhóm tốt.- Kỹ năng: Lập kế hoạch, quản lý, thuyết trình.",https://vieclam24h.vn/co-khi-o-to-tu-dong-hoa/nhan-vien-ky-thuat-bao-gia-c47p93id200283049.
Nhân Viên Marketing,Công Ty Cổ Phần Thực Phẩm Trường Sa,Cao đẳng,12 - 25 triệu,TP.HCM,27/11/2023,Chuyên viên- nhân viên,Marketing,2 năm,Toàn thời gian cố định,1,"Yêu cầu:1.  Trình độ chuyên môn:- Tốt nghiệp Cao đẳng - Đại học các ngành có liên quan Marketing, Quản trị kinh doanh, Sales…- Kinh nghiệm làm việc: Tối thiểu 02 năm ở vị trí Nhân viên Marketing hoặc tương đương - Hiểu biết chuyên môn về các công cụ và cách thức của marketing, truyền thông và quảng cáo- Biết sử dụng MS Office; ưu tiên ứng viên biết sử dụng phần mềm CRM- Logic tốt và kiến thức về thống kê- Trình độ ngoại ngữ: Tiếng Anh thành thạo.2.    Kỹ năng- Kỹ năng lập kế hoạch- Kỹ năng viết bài, tạo ra nội dung thu hút- Kỹ năng sáng tạo – tự nghiên cứu- Kỹ năng phân tích tổng hợp, báo cáo, xử lý tình huống và ra quyết định.- Quản lý thời gian và phân bổ công việc - Sử dụng thành thạo kỹ năng văn phòng Words, Excel, Powerpoint.- Kỹ năng làm slide đẹp, chuyên nghiệp.- Tốt kỹ năng trình bày, tự tin trong giao tiếp, thuyết trình .- Tốt kỹ năng làm việc, phối hợp công việc nhóm.3.  Tinh thần làm việc:- Có tinh thần tập thể, hòa đồng với mọi người.- Chịu khó học hỏi, trách nhiệm cao- Năng động, cầu tiến, chủ động trong công việc- Thích tìm tòi sáng tạo, đam mê học hỏi những cái mới.- Bảo mật thông tin cao",https://vieclam24h.vn/marketing/nhan-vien-marketing-c12p122id200286889.
Nhân Viên Marketing,Công Ty TNHH Thương Mại Dịch Vụ Tổng Hợp Thanh Niên,Cao đẳng,12 - 20 triệu,TP.HCM,27/11/2023,Chuyên viên- nhân viên,Khách sạn - Nhà hàng - Du lịch/Marketing/Bán hàng - Kinh doanh,3 năm,Toàn thời gian cố định,2,"-             Tốt nghiệp Cao đẳng trở lên chuyên ngành Marketing-             Kinh nghiệm làm việc: 03 năm trở lên-             Có kinh nghiệm chạy SEO, các campaign quảng cáo trên FB, Google-             Giới tính: Nam/Nữ-             Am hiểu và có kinh nghiệm làm việc trong ngành hàng, khách sạn.-             Có đầu óc tổ cức, tầm nhìn và khả năng hoạch định tốt.-             Có tính sáng tạo cao.-             Sử dụng thành thạo word, excel và các phần mềm quản trị văn phòng.",https://vieclam24h.vn/khach-san-nha-hang-du-lich/nhan-vien-marketing-c5p122id200238341.
