Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
CV Nhãn Hàng (ABM) - Quảng NgãiUrgent job,Công Ty Sữa Đậu Nành Việt Nam - Vinasoy,Thương lượng,Quảng Ngãi,04/12/2023,Nhân viên,Khoa Học &amp; Kỹ Thuật,"Brand Management, FMCG Industry, Quản Lý Nhãn Hàng, Branding Associate, Branding Marketer",https://www.vietnamworks.com/cv-nhan-hang-abm-quang-ngai--1721673-jv?source=searchResults&searchType=2&placement=1721673&sortBy=date
Trưởng Chi Nhánh,PPP Laser Clinic Viet Nam,Thương lượng,Hồ Chí Minh,08/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Thẩm Mỹ, Thẩm Mỹ Làm Đẹp, Mỹ Phẩm, Thời Trang Cao Cấp, Clinics",https://www.vietnamworks.com/truong-chi-nhanh--1714098-jv?source=searchResults&searchType=2&placement=1714098&sortBy=date
Brand Manager,Con Cung Joint Stock Company,Thương lượng,Hồ Chí Minh,24/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Management, Brand Development, Retail, FMCG, Branding Marketer",https://www.vietnamworks.com/brand-manager-473-1-1-1-1-1-2--1718285-jv?source=searchResults&searchType=2&placement=1718285&sortBy=date
Marketing ManagerHeadhunt jobs,Sanofi,Thương lượng,Hồ Chí Minh,08/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","English, Brand Management, Product Launch, Stakeholder Management, Marketing Budget Management",https://www.vietnamworks.com/marketing-manager--1723251-jv?source=searchResults&searchType=2&placement=1723251&sortBy=date
Export Account Manager,"Emers Vietnam Co., Ltd",Thương lượng,Hồ Chí Minh,24/11/2023,Trưởng phòng,Kinh Doanh,"Consumer Research, Brand Management, Business Development, E Commerce, Communication",https://www.vietnamworks.com/export-account-manager-1718343-jv?source=searchResults&searchType=2&placement=1718343&sortBy=date
Marketing Manager,Công Ty Cổ Phần Thương Mại Calen,Thương lượng,Hồ Chí Minh,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Trade Marketing, Digital Marketing, Marketing Social, Brand Management, Marketing Design",https://www.vietnamworks.com/marketing-manager--1720729-jv?source=searchResults&searchType=2&placement=1720729&sortBy=date
Trưởng Phòng Thương Hiệu / Brand ManagerUrgent job,"Babeeni Co.,Ltd",Thương lượng,Hà Nội,23/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quản Lý Thương Hiệu, Truyền Thông, Marketing Development, Brand Marketing, Brand Management",https://www.vietnamworks.com/truong-phong-thuong-hieu-brand-manager--1717716-jv?source=searchResults&searchType=2&placement=1717716&sortBy=date
Brand and Sales Marketing Manager,Sunrise Events Vietnam,$1000 - $2000,Hồ Chí Minh,29/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Leader, Brand Creation, New Customer Acquisitions, Market Analysis, Roi Management",https://www.vietnamworks.com/brand-and-sales-marketing-manager-1720154-jv?source=searchResults&searchType=2&placement=1720154&sortBy=date
Marketing Support / Admin PageUrgent job,"Nihon Denkei Vietnam Co.,Ltd",Thương lượng,Hà Nội,13/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quản Lý Web, Tiếng Nhật, Tiếng Anh, Quản Lý Hình Ảnh Thương Hiệu, Truyền Thông",https://www.vietnamworks.com/marketing-support-admin-page-1724767-jv?source=searchResults&searchType=2&placement=1724767&sortBy=date
Quản Lý Nhóm Hàng (Ngành Hàng Điện Tử Điện Lạnh)Urgent job,Công Ty Cổ Phần Tập Đoàn Sunhouse,Từ $1000,Hà Nội,12/12/2023,Nhân viên,Bán Lẻ/Tiêu Dùng,"Brand Merchandise Management, Thiết Bị Hàng Gia Dụng, Điện Lạnh Gia Dụng",https://www.vietnamworks.com/quan-ly-nhom-hang-nganh-hang-dien-tu-dien-lanh-1713729-jv?source=searchResults&searchType=2&placement=1713729&sortBy=date
