Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Thực Tập Sinh Social,Công Ty Cổ Phần Thương Mại Dịch Vụ Phân Phối Xuất Nhập Khẩu Mvot,Thương lượng,Hồ Chí Minh,06/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Viết Bài Cho Website, Sáng Tạo Nội Dung, Content Fanpage, Social Marketing",https://www.vietnamworks.com/thuc-tap-sinh-social--1722228-jv?source=searchResults&searchType=2&placement=1722478&sortBy=date
Junior Social Media,Công Ty Trách Nhiệm Hữu Hạn District 1 Creative,$85 - $125,Hồ Chí Minh,15/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Media Marketing, Internal Branding, Social Media",https://www.vietnamworks.com/junior-social-media-1702241-jv?source=searchResults&searchType=2&placement=1702591&sortBy=date
Marketing Partnerships Executive (Business Development),Fitness & Lifestyle Group (Flg) Vietnam,$600 - $800,Hồ Chí Minh,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sales B2B, Marketing Development, English, Business Development, Account Management",https://www.vietnamworks.com/marketing-partnerships-executive-business-development--1725819-jv?source=searchResults&searchType=2&placement=1726169&sortBy=date
Trưởng Ban Nội Dung Truyền Thông (Communications Content Manager),Công Ty Cổ Phần Sữa Việt Nam (Vinamilk),Thương lượng,Hồ Chí Minh,01/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông, Quan Hệ Công Chúng, Nội Dung PR, Tạo Nội Dung, Content",https://www.vietnamworks.com/truong-ban-noi-dung-truyen-thong-communications-content-manager--1721283-jv?source=searchResults&searchType=2&placement=1721633&sortBy=date
Sales GTMT & Trade Marketing Manager [Giao Tiếp Tiếng Anh Tốt],Công Ty Cổ Phần Việt Tinh Anh,Thương lượng,Hà Nội,24/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Phân Phối Hàng Hóa, Kế Hoạch Kinh Doanh, Quản Lý Kênh Bán Hàng, Sales Analyst, Phát Triển Kinh Doanh",https://www.vietnamworks.com/sales-gtmt-trade-marketing-manager-giao-tiep-tieng-anh-tot-1718170-jv?source=searchResults&searchType=2&placement=1718520&sortBy=date
SEO Youtube,Công Ty TNHH Bg Media,$260 - $800,Nghệ An,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Youtube SEO, Digital Marketing, Photoshop, Biên Tập Video",https://www.vietnamworks.com/seo-youtube--1725722-jv?source=searchResults&searchType=2&placement=1726072&sortBy=date
"Senior Officer, Marketing Automation & Digital Lead",British University Vietnam (Buv),Thương lượng,Hưng Yên,15/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing và Branding, Branding Marketer, Leader Marketing, Digital Platforms, CRM Programs",https://www.vietnamworks.com/senior-officer-marketing-automation-digital-lead--1725781-jv?source=searchResults&searchType=2&placement=1726131&sortBy=date
Chuyên Viên SEO,Công Ty Cổ Phần Đầu Tư Thương Mại Và Phát Triển Công Nghê FSI,$500 - $600,Hà Nội,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO Website, Seo Marketing, Google Analytics, Quản Trị Website, Lập Kế Hoạch",https://www.vietnamworks.com/chuyen-vien-seo--1725673-jv?source=searchResults&searchType=2&placement=1726023&sortBy=date
Nhân Viên SEO Marketing,SAPP Academy,Thương lượng,Hà Nội,15/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Phân tích từ khoá, Google Analytics, Content Marketing, Nghiên Cứu",https://www.vietnamworks.com/nhan-vien-seo-marketing--1725753-jv?source=searchResults&searchType=2&placement=1726103&sortBy=date
Communication Specialist,Ajinomoto Vietnam Company,Thương lượng,Hồ Chí Minh,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông, Báo Chí, Public Communnication, Customer Service, Public Relation",https://www.vietnamworks.com/communication-specialist-15--1725763-jv?source=searchResults&searchType=2&placement=1726113&sortBy=date
