Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Viral Marketing Staff (Strong Korean)Urgent job,Công Ty TNHH Kinh Doanh Miễn Thuế Lotte Phú Khánh,Thương lượng,Đà Nẵng,22/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Korean, Photo Editing, Commercial Product Photography, Social Media Marketing, Content Creating",https://www.vietnamworks.com/viral-marketing-staff-strong-korean-1717149-jv?source=searchResults&searchType=2&placement=1717149&sortBy=date
Content Marketing - Ưu Tiên Đi Làm Ngay (Chấp Nhận Sinh Viên Mới Ra Trường),Trường Cao Đẳng Nghề Công Nghệ Và Kỹ Thuật Trần Hưng Đạo,Từ $400,Hà Nội,29/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quảng Cáo, Content Marketing, Social Media, SEO, Truyền Thông",https://www.vietnamworks.com/content-marketing-uu-tien-di-lam-ngay-chap-nhan-sinh-vien-moi-ra-truong-1720147-jv?source=searchResults&searchType=2&placement=1720147&sortBy=date
Chuyên Viên Cao Cấp Sáng Tạo Nội Dung (Senior Content Writer)Urgent job,Công Ty Cổ Phần Thời Trang Humy Ngo,Thương lượng,Hà Nội,12/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông, Marketing Planning, Thời Trang, Tổ Chức Sự Kiện, Truyền Thông Tiếp Thị",https://www.vietnamworks.com/chuyen-vien-cao-cap-sang-tao-noi-dung-senior-content-writer-1712042-jv?source=searchResults&searchType=2&placement=1712042&sortBy=date
Content Creator,Công Ty TNHH Business Marketing Communications Agency,$340 - $800,Hồ Chí Minh,01/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sáng Tạo Nội Dung, Content Creating, Truyền Thông Thương Hiệu, Marketing Planning, Social Network",https://www.vietnamworks.com/content-creator--1721103-jv?source=searchResults&searchType=2&placement=1721103&sortBy=date
Chuyên Viên Viết Bài (Copy Writer),Công Ty TNHH Xây Dựng Quảng Cáo Hoàng Gia Cát,Thương lượng,Hồ Chí Minh,11/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Content Creating, Biên Tập Video, Content Fanpage, Truyền Thông",https://www.vietnamworks.com/chuyen-vien-viet-bai-copy-writer-1723865-jv?source=searchResults&searchType=2&placement=1723865&sortBy=date
Digital Content Specialist - Outsourcing,United Overseas Bank (Vietnam) Limited (UOB Vietnam),Thương lượng,Hồ Chí Minh,11/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Admin, Content Editing, Digital Content Marketing, Agency Coordination",https://www.vietnamworks.com/digital-content-specialist-outsourcing-1723761-jv?source=searchResults&searchType=2&placement=1723761&sortBy=date
Content Marketing,Công Ty TNHH Uniktech,$500 - $700,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Nội Dung Website, Chiến Dịch Truyền Thông, SEO, Sáng Tạo Nội Dung",https://www.vietnamworks.com/content-marketing--1726181-jv?source=searchResults&searchType=2&placement=1726181&sortBy=date
Nhân Viên Content Marketing,Công Ty TNHH Tốt Và Xanh,$250 - $300,Bà Rịa - Vũng Tàu,18/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Social, SEO, Digital Marketing, Content Writing, Content Marketing",https://www.vietnamworks.com/nhan-vien-content-marketing-215--1726180-jv?source=searchResults&searchType=2&placement=1726180&sortBy=date
Content Creator,Swinburne Việt Nam,Thương lượng,Hà Nội,07/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sáng Tạo Nội Dung, Content Marketing, Content Creation, Social Media Content, Event Marketing",https://www.vietnamworks.com/content-creator--1722829-jv?source=searchResults&searchType=2&placement=1722829&sortBy=date
Content Marketing Intern,TNHH Nos Digital,Thương lượng,Hồ Chí Minh,07/12/2023,Thực tập sinh/Sinh viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Content Writing, Content Marketing, Lên Ý Tưởng Kịch Bản, SEO Content",https://www.vietnamworks.com/content-marketing-intern--1722755-jv?source=searchResults&searchType=2&placement=1722755&sortBy=date
